"No.","Time","Source","Destination","Protocol","Length","Info","Window"
"733","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"734","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=904079 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"735","4.942846","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"736","4.942846","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=906999 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"737","4.943838","192.168.1.122","130.192.1.34","TCP","54","64177  >  443 [ACK] Seq=734 Ack=908459 Win=671488 Len=0","2623"
"738","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=908459 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"739","4.944504","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"740","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=911379 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"741","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=912839 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"742","4.944504","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"743","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=915759 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"744","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=917219 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"745","4.944504","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"746","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=920139 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"747","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=921599 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"748","4.944504","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"749","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=924519 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"750","4.944504","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"751","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=927439 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"752","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=928899 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"753","4.944504","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"754","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=931819 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"755","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=933279 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"756","4.944504","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"757","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=936199 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"758","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=937659 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
"759","4.944504","130.192.1.34","192.168.1.122","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]","245"
"760","4.944504","130.192.1.34","192.168.1.122","TCP","1514","443  >  64177 [ACK] Seq=940579 Ack=734 Win=31360 Len=1460 [TCP segment of a reassembled PDU]","245"
